name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,source_file,file_type,tempmax,tempmin,feelslikemax,feelslikemin,precipcover,sunrise,sunset,moonphase,description
"Bhopal, Madhya Pradesh, India",2024-01-01 13:00:00,75.2,75.2,66.2,73.63,0.0,0,,0,0.0,13.2,4.7,330.0,1018.0,50.0,1.2,634.7,2.3,6,,Partially cloudy,partly-cloudy-day,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 14:00:00,78.4,78.4,62.3,57.83,0.0,0,,0,0.0,13.0,0.0,0.0,1013.8,36.2,1.0,614.7,2.2,6,,Partially cloudy,partly-cloudy-day,"VABP,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 15:00:00,75.2,75.2,66.2,73.63,0.0,0,,0,0.0,12.1,8.1,360.0,1015.0,0.0,1.2,507.4,1.8,5,,Clear,clear-day,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 16:00:00,72.4,72.4,61.1,67.56,0.0,0,,0,0.0,12.3,3.4,241.7,1013.0,39.2,,395.7,1.4,4,,Partially cloudy,partly-cloudy-day,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 17:00:00,69.8,69.8,66.0,87.55,0.0,0,,0,0.0,9.6,6.8,360.0,1014.2,100.0,0.6,255.5,0.9,3,,Overcast,fog,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 18:00:00,73.3,73.3,60.7,64.71,0.004,100,rain,0,0.0,5.8,2.0,354.4,1014.0,28.8,,73.5,0.3,0,,"Rain, Partially cloudy",rain,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 19:00:00,73.3,73.3,62.3,68.52,0.0,0,,0,0.0,3.8,4.0,22.2,1014.0,34.2,,1.3,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 20:00:00,64.5,64.5,62.0,91.7,0.0,0,,0,0.0,6.0,6.9,15.0,1016.5,31.4,0.6,0.0,0.0,0,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 21:00:00,62.6,62.6,62.6,100.0,0.0,0,,0,0.0,7.2,5.8,10.0,1017.0,0.0,0.6,0.0,0.0,0,,Clear,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 22:00:00,60.8,60.8,60.8,100.0,0.0,0,,0,0.0,8.3,4.7,10.0,1018.0,0.0,0.6,0.0,0.0,0,,Clear,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 23:00:00,61.0,61.0,59.6,95.07,0.0,0,,0,0.0,8.7,4.7,360.0,1016.7,18.9,0.6,0.0,0.0,0,,Clear,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 00:00:00,61.8,61.8,59.8,93.22,0.0,0,,0,0.0,8.9,5.4,57.3,1016.0,15.7,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 01:00:00,61.1,61.1,59.3,93.8,0.0,0,,0,0.0,9.4,5.4,64.8,1016.0,18.0,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 02:00:00,58.4,58.4,55.1,88.96,0.0,0,,0,0.0,9.4,4.7,340.0,1016.0,17.2,0.6,0.0,0.0,0,,Clear,fog,42667099999,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 03:00:00,59.6,59.6,58.2,94.98,0.0,0,,0,0.0,9.2,4.9,65.8,1015.0,20.0,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 04:00:00,57.8,57.8,57.1,97.44,0.0,0,,0,0.0,8.3,4.9,56.4,1016.0,20.1,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 05:00:00,56.2,56.2,55.9,98.8,0.0,0,,0,0.0,8.1,3.4,20.0,1016.0,100.0,0.0,0.0,0.0,0,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 06:00:00,55.4,55.4,55.4,100.0,0.0,0,,0,0.0,8.3,5.8,350.0,1017.0,100.0,0.0,0.0,0.0,0,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 07:00:00,55.4,55.4,55.4,100.0,0.0,0,,0,0.0,8.5,5.8,340.0,1017.0,100.0,0.0,0.0,0.0,0,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 08:00:00,56.1,56.1,55.7,98.47,0.0,0,,0,0.0,8.9,5.7,360.0,1018.0,100.0,0.0,8.4,0.0,0,,Overcast,cloudy,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 09:00:00,57.2,57.2,55.4,93.7,0.0,0,,0,0.0,12.1,3.4,30.0,1019.0,100.0,,136.4,0.5,1,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 10:00:00,58.9,58.9,56.9,93.14,0.0,0,,0,0.0,13.4,5.1,67.2,1018.0,8.3,,321.4,1.2,3,,Clear,clear-day,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 11:00:00,61.8,61.8,59.6,92.46,0.0,0,,0,0.0,13.9,2.2,45.0,1017.3,5.7,0.6,499.3,1.8,5,,Clear,fog,"VABP,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 12:00:00,69.8,69.8,68.0,94.02,0.0,0,,0,0.0,13.9,2.2,100.0,1016.0,0.0,1.2,600.5,2.2,6,,Clear,clear-day,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 13:00:00,73.4,73.4,66.2,78.21,0.0,0,,0,0.0,12.3,3.4,130.0,1015.0,0.0,1.2,655.8,2.4,7,,Clear,clear-day,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 14:00:00,77.3,77.3,63.6,62.76,0.0,0,,0,0.0,12.3,2.2,90.0,1013.6,46.9,1.0,652.1,2.3,7,,Partially cloudy,partly-cloudy-day,"VABP,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 15:00:00,71.6,71.6,69.8,94.06,0.0,0,,0,0.0,12.1,0.0,320.0,1014.0,0.0,1.2,557.0,2.0,6,,Clear,clear-day,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 16:00:00,70.6,70.6,61.4,72.73,0.0,0,,0,0.0,11.2,3.4,189.5,1013.0,30.2,,410.2,1.5,4,,Partially cloudy,partly-cloudy-day,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 17:00:00,67.9,67.9,64.2,87.89,0.0,0,,0,0.0,10.7,6.8,360.0,1013.5,28.3,1.0,246.5,0.9,2,,Partially cloudy,partly-cloudy-day,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 18:00:00,64.4,64.4,64.4,100.0,0.0,0,,0,0.0,4.5,9.2,360.0,1015.0,27.3,1.2,77.0,0.3,0,,Partially cloudy,partly-cloudy-night,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 19:00:00,71.0,71.0,62.9,75.59,0.0,0,,0,0.0,2.9,4.0,31.8,1013.0,32.3,,1.5,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 20:00:00,60.9,60.9,59.8,96.21,0.0,0,,0,0.0,6.9,5.8,15.0,1015.9,27.3,0.6,0.0,0.0,0,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 21:00:00,63.1,63.1,60.3,90.9,0.0,0,,0,0.0,10.5,5.1,36.7,1015.0,13.8,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 22:00:00,62.0,62.0,60.2,93.82,0.0,0,,0,0.0,11.9,5.8,41.9,1016.0,8.8,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-02 23:00:00,59.6,59.6,58.4,95.6,0.0,0,,0,0.0,11.6,3.4,320.0,1016.0,6.0,0.6,0.0,0.0,0,,Clear,fog,42667099999,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 00:00:00,59.6,59.6,58.9,97.46,0.0,0,,0,0.0,11.0,6.0,56.5,1016.0,7.5,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 01:00:00,60.0,60.0,58.7,95.6,0.0,0,,0,0.0,10.5,5.8,65.5,1015.0,9.0,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 02:00:00,57.3,57.3,56.9,98.71,0.0,0,,0,0.0,10.1,3.4,320.0,1015.2,6.7,0.6,0.0,0.0,0,,Clear,fog,42667099999,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 03:00:00,58.4,58.4,57.3,96.19,0.0,0,,0,0.0,9.6,5.4,86.1,1015.0,8.5,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 04:00:00,59.1,59.1,58.0,96.21,0.0,0,,0,0.0,9.2,4.7,80.6,1015.0,13.1,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 05:00:00,59.3,59.3,58.7,98.09,0.0,0,,0,0.0,8.9,8.1,360.0,1015.0,9.6,0.0,0.0,0.0,0,,Clear,clear-night,42667099999,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 06:00:00,57.2,57.2,57.2,100.0,0.0,0,,0,0.0,7.8,8.1,360.0,1016.0,100.0,0.0,0.0,0.0,0,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 07:00:00,59.4,59.4,57.6,93.76,0.0,0,,0,0.0,6.7,3.8,82.7,1015.0,38.0,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 08:00:00,58.2,58.2,57.9,99.03,0.0,0,,0,0.0,7.6,2.2,50.0,1017.0,100.0,0.3,8.1,0.0,0,,Overcast,fog,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 09:00:00,61.2,61.2,57.8,88.52,0.0,0,,0,0.0,10.7,3.1,100.6,1016.0,34.8,,130.4,0.5,1,,Partially cloudy,partly-cloudy-day,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 10:00:00,62.0,62.0,58.0,86.85,0.0,0,,0,0.0,12.3,2.9,138.7,1017.0,37.7,,283.3,1.0,3,,Partially cloudy,partly-cloudy-day,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 11:00:00,59.3,59.3,59.3,99.83,0.039,100,rain,0,0.0,14.5,5.8,50.0,1016.9,99.8,0.6,473.8,1.7,5,,"Rain, Overcast",rain,"VABP,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 12:00:00,64.4,64.4,62.6,93.88,0.0,0,,0,0.0,15.2,2.2,100.0,1016.0,50.0,0.6,565.8,2.0,6,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 13:00:00,69.8,69.8,69.8,100.0,0.0,0,,0,0.0,13.4,2.2,130.0,1015.0,50.0,0.6,473.2,1.7,5,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 14:00:00,73.4,73.4,66.6,79.17,0.0,0,,0,0.0,14.8,2.3,51.0,1013.3,40.0,1.0,528.4,1.9,5,,Partially cloudy,partly-cloudy-day,"VABP,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 15:00:00,71.7,71.7,60.9,68.78,0.0,0,,0,0.0,15.2,0.7,355.1,1013.0,25.4,,416.4,1.5,4,,Partially cloudy,partly-cloudy-day,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 16:00:00,68.4,68.4,63.1,82.9,0.0,0,,0,0.0,16.1,2.0,48.8,1013.0,50.0,,389.5,1.4,4,,Partially cloudy,partly-cloudy-day,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 17:00:00,70.3,70.3,66.0,86.25,0.0,0,,0,0.0,14.5,5.7,1.0,1013.2,50.6,1.8,213.7,0.8,2,,Partially cloudy,partly-cloudy-day,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 18:00:00,64.4,64.4,64.4,100.0,0.0,0,,0,0.0,10.3,9.2,360.0,1014.0,27.3,1.2,77.0,0.3,0,,Partially cloudy,partly-cloudy-night,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 19:00:00,62.6,62.6,60.8,93.84,0.0,0,,0,0.0,13.4,10.3,350.0,1015.0,27.3,1.2,1.2,0.0,0,,Partially cloudy,partly-cloudy-night,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 20:00:00,61.6,61.6,60.2,95.08,0.0,0,,0,0.0,15.0,8.1,360.0,1015.4,25.0,0.6,0.0,0.0,0,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 21:00:00,62.0,62.0,60.3,94.42,0.0,0,,0,0.0,15.0,4.7,34.4,1015.0,44.6,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 22:00:00,61.2,61.2,59.8,95.02,0.0,0,,0,0.0,16.1,5.6,45.6,1015.0,36.2,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-03 23:00:00,59.7,59.7,58.6,96.19,0.0,0,,0,0.0,12.8,4.7,45.0,1015.9,100.0,0.6,0.0,0.0,0,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 00:00:00,60.2,60.2,58.9,95.61,0.0,0,,0,0.0,10.5,5.8,58.2,1015.0,26.7,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 01:00:00,60.2,60.2,58.7,94.99,0.0,0,,0,0.0,10.1,5.1,61.7,1015.0,30.9,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 02:00:00,58.7,58.7,57.5,95.58,0.0,0,,0,0.0,8.5,5.8,20.0,1014.7,29.6,0.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,42667099999,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 03:00:00,58.9,58.9,58.0,96.83,0.0,0,,0,0.0,8.9,5.4,60.7,1015.0,31.6,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 04:00:00,58.7,58.7,57.3,94.96,0.0,0,,0,0.0,9.2,5.1,59.9,1015.0,56.8,,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 05:00:00,57.9,57.9,57.3,97.92,0.0,0,,0,0.0,8.5,7.0,9.0,1015.4,100.0,0.0,0.0,0.0,0,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 06:00:00,57.2,57.2,57.2,100.0,0.0,0,,0,0.0,7.2,2.2,60.0,1017.0,100.0,,0.0,0.0,0,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 07:00:00,57.2,57.2,57.2,100.0,0.0,0,,0,0.0,8.1,3.4,20.0,1017.0,100.0,0.6,0.0,0.0,0,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 08:00:00,58.1,58.1,57.2,97.03,0.0,0,,0,0.0,8.7,6.8,1.0,1017.5,100.0,0.6,5.3,0.0,0,,Overcast,fog,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 09:00:00,59.0,59.0,59.0,100.0,0.0,0,,0,0.0,9.6,2.2,320.0,1019.0,100.0,0.6,75.6,0.3,1,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 10:00:00,59.0,59.0,59.0,100.0,0.0,0,,0,0.0,10.3,5.8,50.0,1019.0,100.0,0.6,172.1,0.6,2,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 11:00:00,61.1,61.1,58.7,91.88,0.0,0,,0,0.0,11.9,4.7,20.0,1018.6,100.0,0.6,324.6,1.2,3,,Overcast,fog,"VABP,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 12:00:00,59.0,59.0,59.0,100.0,0.0,0,,0,0.0,12.3,8.1,360.0,1018.0,100.0,0.0,437.0,1.6,4,,Overcast,cloudy,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 13:00:00,59.0,59.0,59.0,100.0,0.0,0,,0,0.0,12.3,4.7,30.0,1016.0,100.0,0.6,405.4,1.5,4,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 14:00:00,59.9,59.9,59.9,99.95,0.315,100,rain,0,0.0,11.0,5.8,1.0,1014.9,100.0,0.3,285.1,1.0,3,,"Rain, Overcast",rain,"VABP,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 15:00:00,60.8,60.8,60.8,100.0,0.0,0,,0,0.0,10.7,2.2,30.0,1014.0,100.0,0.6,251.2,0.9,3,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 16:00:00,60.8,60.8,60.8,100.0,0.0,0,,0,0.0,10.1,4.7,10.0,1014.0,100.0,0.6,181.1,0.7,2,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 17:00:00,60.9,60.9,59.3,94.64,0.0,0,,0,0.0,10.1,7.9,1.0,1014.6,100.0,0.4,104.6,0.4,1,,Overcast,fog,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 18:00:00,60.8,60.8,59.0,93.79,0.0,0,,0,0.0,7.2,11.4,350.0,1015.0,100.0,0.6,50.8,0.2,0,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 19:00:00,60.8,60.8,59.0,93.79,0.0,0,,0,0.0,5.4,6.9,350.0,1016.0,27.3,0.6,1.2,0.0,0,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 20:00:00,59.2,59.2,59.1,99.4,0.0,0,,0,0.0,7.4,11.4,340.0,1015.9,58.2,0.3,0.0,0.0,0,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 21:00:00,59.0,59.0,59.0,100.0,0.0,0,,0,0.0,8.5,9.2,360.0,1017.0,100.0,0.6,0.0,0.0,0,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 22:00:00,59.0,59.0,59.0,100.0,0.0,0,,0,0.0,8.7,10.3,360.0,1017.0,100.0,0.6,0.0,0.0,0,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-04 23:00:00,59.0,59.0,58.7,98.81,0.0,0,,0,0.0,8.3,10.3,360.0,1016.0,100.0,0.3,0.0,0.0,0,,Overcast,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-05 00:00:00,59.4,59.4,59.3,99.36,0.0,0,,0,0.0,7.2,4.9,62.8,1015.0,18.6,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-05 01:00:00,59.8,59.8,59.4,98.73,0.004,100,rain,0,0.0,10.7,4.5,61.5,1015.0,23.8,,0.0,0.0,0,,"Rain, Partially cloudy",rain,remote,Jan 2024.csv,.csv,,,,,,,,,
